N,Город,Зарплата_в_месяц,Изменение_зарплаты_за_12_месяцев,Должность,exp,current_job_exp,Язык_программирования,Специализация,Возраст,Пол,Образование,Университет,Еще_студент,Уровень_английского,Размер_компании,Тип_компании,Предметная_область
1844,Kyiv,3800,2000,Software Engineer,4.0,0.0,JavaScript,,29,male,Высшее,Other вуз,False,средний,свыше 1000 человек,Аутсорсинговая,"Logistics, Manufacturing"
1845,Kyiv,3800,1200,Software Engineer,4.0,2.0,Ruby/Rails,,30,male,Незаконченное высшее,КНУ им. Шевченко,False,выше среднего,до 50 человек,Продуктовая,"Adtech, High Load Systems, Media"
1846,Kyiv,3800,2000,Team/Technical Lead,2.0,0.0,C#/.NET,,24,male,Незаконченное высшее,НАУ,False,выше среднего,до 200 человек,Аутсорсинговая,Інша
1848,Kyiv,3800,200,Software Engineer,6.0,0.0,JavaScript,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутстаффинговая,Insurance
1849,Kyiv,3800,1400,Senior Software Engineer,5.0,0.5,Python,,30,male,Высшее,Other вуз,False,средний,до 200 человек,Аутстаффинговая,"Big Data, Cloud Computing, Medtech"
1850,Kyiv,3800,0,Senior Software Engineer,10.0,7.0,Ruby/Rails,,33,male,Высшее,КНУСА,False,средний,до 200 человек,Продуктовая,E-commerce
1851,Kharkiv,3800,300,DevOps,10.0,3.0,,,38,male,Высшее,НТУ «ХПИ»,False,выше среднего,до 200 человек,Продуктовая,E-commerce
1852,Kyiv,3800,500,Business analyst,8.0,2.0,,,29,male,Высшее,,False,выше среднего,до 1000 человек,Аутсорсинговая,Fintech
1853,Vinnytsia,3800,200,DevOps,9.0,2.0,,,31,male,Высшее,ВНТУ,False,средний,до 200 человек,Аутсорсинговая,"Cloud Computing, High Load Systems"
1854,Kyiv,3800,300,Team/Technical Lead,10.0,4.0,Other,,44,male,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
1855,Kyiv,3800,0,Designer,8.0,3.0,,,35,male,Высшее,КНЭУ,False,выше среднего,до 1000 человек,Аутсорсинговая,"Big Data, Fintech, High Load Systems"
1856,Kyiv,3800,1900,Senior Software Engineer,5.0,0.5,TypeScript,,32,male,Среднее,,False,выше среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
1857,Kyiv,3800,500,Senior Software Engineer,7.0,7.0,C#/.NET,,28,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Продуктовая,ERP
1858,Kyiv,3800,760,Team/Technical Lead,6.0,6.0,C++,,30,male,Незаконченное высшее,КНУСА,False,выше среднего,до 1000 человек,Продуктовая,Manufacturing
1859,Kyiv,3800,500,Senior Software Engineer,5.0,1.0,PHP,,26,male,Высшее,НАУ,False,средний,до 10 человек,Аутстаффинговая,Інша
1860,Kyiv,3800,1400,Team/Technical Lead,3.0,2.0,Java,,31,male,Высшее,ДонНТУ,False,средний,до 1000 человек,Продуктовая,Інша
1862,Kyiv,3800,1000,Team/Technical Lead,6.0,3.0,C#/.NET,,29,female,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,Gambling
1863,Kyiv,3800,850,Security Specialist,8.0,4.0,,,32,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Продуктовая,Gambling
1864,Kyiv,3780,2780,Software Engineer,10.0,0.25,C#/.NET,,42,male,Высшее,ДонНТУ,False,выше среднего,до 10 человек,Продуктовая,Medtech
1865,Kyiv,3770,1600,Team/Technical Lead,4.0,4.0,C#/.NET,,25,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
1870,Kyiv,3750,1200,Senior Software Engineer,4.0,0.25,Java,,33,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Logistics
1871,Kyiv,3750,750,Senior Software Engineer,5.0,1.0,Ruby/Rails,,26,male,Незаконченное высшее,НТУУ «КПИ»,False,средний,до 200 человек,Продуктовая,E-commerce
1875,Kyiv,3750,200,Software Engineer,5.0,1.0,Ruby/Rails,,30,male,Высшее,ХНУ [г. Хмельницкий],False,выше среднего,до 50 человек,Продуктовая,E-commerce
1877,Kyiv,3750,1300,Senior Software Engineer,5.0,1.0,JavaScript,,31,male,Высшее,,False,средний,до 50 человек,Аутстаффинговая,E-commerce
1881,Kyiv,3750,1900,Research Engineer,3.0,3.0,,,21,male,Еще студент,НТУУ «КПИ»,True,средний,свыше 1000 человек,Продуктовая,"Data Science, Machine Learning, Security"
1882,Kyiv,3750,450,Senior Software Engineer,9.0,3.0,JavaScript,,36,male,Высшее,СумГУ,False,выше среднего,до 10 человек,Продуктовая,Machine Learning
1886,Kyiv,3750,700,Team/Technical Lead,10.0,2.0,Java,,32,male,Высшее,Other вуз,False,средний,до 50 человек,Аутстаффинговая,Fintech
1887,Kyiv,3750,1100,Software Engineer,4.0,0.5,C#/.NET,,24,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутстаффинговая,"High Load Systems, Інша"
1888,Kyiv,3750,1100,Senior Software Engineer,3.0,0.5,Java,,26,male,Высшее,НТУУ «КПИ»,False,средний,до 200 человек,Продуктовая,Gambling
1889,Lviv,3750,0,Team/Technical Lead,8.0,6.0,JavaScript,,27,female,Высшее,ЛНУ им. Франко,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Fintech
1890,Kyiv,3750,1950,Team/Technical Lead,4.0,1.0,PHP,,23,male,Среднее,,False,средний,до 50 человек,Аутстаффинговая,"Fintech, Gambling"
1891,Kyiv,3750,0,Team/Technical Lead,9.0,4.0,C#/.NET,,28,male,Техникум / Колледж,Other вуз,False,ниже среднего,до 200 человек,Продуктовая,"E-commerce, Manufacturing"
1894,Kyiv,3750,350,Product Manager,3.0,0.5,,,31,male,Высшее,КНУТД,False,выше среднего,свыше 1000 человек,Другая,E-commerce
1895,Kyiv,3750,0,Data Scientist,10.0,1.0,,,37,male,Два высших,ДонНТУ,False,продвинутый,до 10 человек,Другая,Data Science
1896,Kyiv,3750,1500,Senior QA engineer,4.0,0.5,,Automation QA,28,female,Среднее,,False,средний,до 200 человек,Аутсорсинговая,E-commerce
1897,Kyiv,3750,500,Software Engineer,3.0,2.0,TypeScript,,34,female,Высшее,ЖГТУ,False,выше среднего,до 200 человек,Стартап,Edtech
1900,Kyiv,3700,0,Senior Software Engineer,10.0,0.0,Swift,,42,male,Высшее,ХАИ,False,продвинутый,свыше 1000 человек,Продуктовая,Mobile
1901,Kyiv,3700,400,Senior Software Engineer,5.0,1.0,Java,,32,male,Высшее,КНЭУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
1903,Kyiv,3700,700,Business analyst,5.0,2.0,,,30,male,Высшее,НАУ,False,выше среднего,до 1000 человек,Другая,E-commerce
1904,Kyiv,3700,700,Software Engineer,5.0,0.0,Java,,28,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,"Blockchain, Insurance"
1905,Kyiv,3700,1700,Senior Software Engineer,5.0,0.5,JavaScript,,36,female,Высшее,КНУ им. Шевченко,False,продвинутый,до 50 человек,Продуктовая,E-commerce
1907,Kyiv,3700,600,Senior Software Engineer,4.0,1.0,C#/.NET,,25,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Аутстаффинговая,High Load Systems
1908,Kyiv,3700,600,Data Scientist,3.0,2.0,,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 1000 человек,Продуктовая,"Data Science, GameDev"
1909,Kyiv,3700,-400,Senior Software Engineer,8.0,4.0,SQL,,31,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Аутсорсинговая,"E-commerce, Legal"
1910,Lviv,3700,150,DevOps,5.0,2.0,,,30,male,Высшее,Lvivская Политехника,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Security, Telecom"
1913,Kyiv,3700,0,Senior Software Engineer,7.0,1.0,Java,,35,male,Высшее,КНУТД,False,ниже среднего,свыше 1000 человек,Аутсорсинговая,Інша
1915,Kyiv,3700,200,Senior Project manager / Program Manager,6.0,1.0,,,32,female,Два высших,НТУУ «КПИ»,False,выше среднего,до 200 человек,Аутсорсинговая,E-commerce
1917,Kyiv,3700,1000,Team/Technical Lead,4.0,2.0,JavaScript,,26,male,Незаконченное высшее,,False,ниже среднего,до 50 человек,Аутсорсинговая,Fintech
1922,Kyiv,3700,200,DevOps,10.0,0.5,,,34,male,Высшее,КНУ им. Шевченко,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Cloud Computing, Media"
1923,Kyiv,3700,500,Senior Software Engineer,9.0,3.0,Java,,35,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Insurance
1924,Kyiv,3700,-6300,DevOps,3.0,0.0,,,31,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Інша
1929,Kyiv,3700,300,QA Tech Lead,9.0,4.0,,Automation QA,30,male,Высшее,НАУ,False,выше среднего,до 200 человек,Аутсорсинговая,Fintech
1930,Kyiv,3700,300,Senior Software Engineer,7.0,2.0,Kotlin,,28,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 1000 человек,Аутсорсинговая,"Fintech, Security"
1931,Kyiv,3700,700,Senior Software Engineer,4.0,3.0,Python,,22,male,Два высших,НаУКМА,False,продвинутый,свыше 1000 человек,Продуктовая,Telecom
1932,Kyiv,3700,200,DevOps,8.0,0.5,,,38,male,Высшее,ДонНТУ,False,средний,до 50 человек,Продуктовая,Automotive
1935,Kyiv,3700,300,Business analyst,9.0,0.0,,,31,female,Два высших,НТУУ «КПИ»,False,выше среднего,до 50 человек,Аутсорсинговая,Інша
1937,Odessa,3700,1000,DevOps,7.0,2.0,,,31,male,Высшее,ОНПУ,False,средний,до 10 человек,Продуктовая,"Blockchain, Fintech"
1939,Kyiv,3700,0,Senior Software Engineer,7.0,5.0,Java,,28,male,Незаконченное высшее,НАУ,False,средний,до 50 человек,Аутстаффинговая,Інша
1940,Kyiv,3700,0,QA Tech Lead,8.0,1.0,,Manual QA,30,female,Высшее,ДонНУ им. Васыля Стуса,False,средний,свыше 1000 человек,Аутсорсинговая,Media
1941,Kyiv,3700,500,Business analyst,7.0,5.0,,,30,female,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
1944,Kyiv,3700,700,Product Manager,7.0,0.0,,,29,male,Высшее,КНЭУ,False,выше среднего,до 200 человек,Продуктовая,Gambling
1946,Kyiv,3700,1000,Senior Software Engineer,7.0,0.25,C++,,28,male,Высшее,Other вуз,False,средний,до 10 человек,Продуктовая,"Big Data, Cloud Computing, Hardware"
1948,Kyiv,3700,2000,Team/Technical Lead,5.0,1.0,Java,,27,male,Высшее,КНЭУ,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Fintech
1949,Kyiv,3700,0,Software Engineer,7.0,3.0,Objective-C,,29,male,Высшее,ДонНТУ,False,ниже среднего,до 1000 человек,Продуктовая,Mobile
1950,Kyiv,3700,400,Senior Software Engineer,5.0,5.0,C++,,30,male,Высшее,КНУ им. Шевченко,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Automotive
1951,Kyiv,3700,400,Senior Software Engineer,5.0,3.0,Java,,27,male,Высшее,КНУСА,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
1952,Kyiv,3700,700,Software Engineer,4.0,2.0,Scala,,24,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Аутстаффинговая,Security
1953,Kyiv,3700,-300,DevOps,7.0,0.5,,,30,male,Техникум / Колледж,,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
1955,Kharkiv,3700,200,Senior Project manager / Program Manager,10.0,2.0,,,30,female,Высшее,Other вуз,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Інша
1957,Kyiv,3700,300,Product Manager,9.0,0.5,,,30,female,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Аутсорсинговая,"Blockchain, Media, Mobile"
1959,Kyiv,3700,400,Team/Technical Lead,7.0,2.0,C#/.NET,,26,female,Незаконченное высшее,ХНУРЭ,False,продвинутый,до 1000 человек,Аутстаффинговая,Інша
1961,Kyiv,3700,600,Senior Software Engineer,10.0,7.0,Python,,31,male,Высшее,Other вуз,False,средний,до 10 человек,Стартап,"Adtech, Media"
1963,Kyiv,3700,500,ERP / CRM,10.0,3.0,,,41,male,Высшее,ДонНТУ,False,выше среднего,до 200 человек,Продуктовая,"Automotive, ERP"
1964,Kyiv,3700,500,QA Tech Lead,8.0,1.0,,Manual QA,30,female,Высшее,НАУ,False,выше среднего,до 200 человек,Продуктовая,GameDev
1965,Kyiv,3700,1000,Senior Software Engineer,4.0,2.0,PHP,,24,male,Высшее,ЖГТУ,False,выше среднего,до 1000 человек,Аутсорсинговая,E-commerce
1968,Kyiv,3700,0,Senior Software Engineer,10.0,3.0,SQL,,44,male,Высшее,ХНЭУ,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
1969,Kyiv,3700,850,Project manager,4.0,5.0,,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Data Science, Machine Learning, Manufacturing"
1970,Kyiv,3700,200,Product Owner,10.0,2.0,,,33,male,Высшее,ОНАС,False,продвинутый,до 1000 человек,Продуктовая,E-commerce
1971,Kyiv,3700,200,Software Engineer,6.0,1.0,Kotlin,,29,male,Высшее,ЗНТУ,False,выше среднего,до 50 человек,Продуктовая,Medtech
1972,Kyiv,3700,1100,Software Engineer,5.0,0.0,C#/.NET,,30,male,Высшее,НАУ,False,выше среднего,до 1000 человек,Продуктовая,Gambling
1973,Kyiv,3700,900,Senior Software Engineer,10.0,9.0,C#/.NET,,35,male,Высшее,ДонНТУ,False,средний,до 1000 человек,Аутсорсинговая,"E-commerce, Fintech, Security"
1974,Kyiv,3700,700,Senior Software Engineer,9.0,2.0,C++,,30,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"Automotive, Media"
1975,Kyiv,3700,0,Senior QA engineer,9.0,3.0,,Automation QA,32,male,Высшее,НТУУ «КПИ»,False,средний,до 200 человек,Продуктовая,Інша
1976,Kyiv,3700,1500,Software Engineer,3.0,0.25,JavaScript,,25,female,Высшее,Other вуз,False,продвинутый,до 10 человек,Аутстаффинговая,Insurance
1977,Kyiv,3700,200,Product Owner,7.0,1.0,,,30,female,Высшее,НТУУ «КПИ»,False,продвинутый,до 50 человек,Продуктовая,"Fintech, Gambling"
1979,Kyiv,3700,800,Team/Technical Lead,10.0,7.0,C#/.NET,,31,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Продуктовая,GameDev
1980,Kyiv,3700,700,Software Engineer,7.0,3.0,PHP,,25,male,Высшее,НТУУ «КПИ»,False,средний,до 50 человек,Продуктовая,Інша
1981,Kyiv,3700,200,Team/Technical Lead,7.0,4.0,JavaScript,,33,male,Незаконченное высшее,Other вуз,False,средний,до 1000 человек,Аутстаффинговая,E-commerce
1983,Kyiv,3700,700,Software Engineer,4.0,1.0,Python,,27,male,Высшее,ЧНУ им. Федьковича,False,выше среднего,до 1000 человек,Аутстаффинговая,Security
1986,Kyiv,3700,0,Senior QA engineer,6.0,6.0,,Automation QA,30,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
1989,Kyiv,3675,0,HR,10.0,3.0,,,41,female,Высшее,Other вуз,False,продвинутый,до 1000 человек,Продуктовая,GameDev
1991,Kyiv,3650,1550,Senior Software Engineer,5.0,0.5,TypeScript,,33,female,Высшее,Other вуз,False,выше среднего,до 200 человек,Аутсорсинговая,Automotive
1992,Kyiv,3650,650,Senior Software Engineer,6.0,0.5,Java,,30,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 50 человек,Аутстаффинговая,Automotive
1993,Kyiv,3650,0,Senior Software Engineer,10.0,0.5,C#/.NET,,35,male,Высшее,ХНУРЭ,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Інша
1995,Kyiv,3650,650,Senior Software Engineer,3.0,1.0,JavaScript,,24,male,Высшее,КНЭУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Media
1997,Kyiv,3610,760,Senior Software Engineer,6.0,6.0,Java,,28,male,Высшее,КНУ им. Шевченко,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
2002,Kyiv,3600,0,Product Owner,6.0,2.0,,,28,male,Высшее,КНУ им. Шевченко,False,продвинутый,до 1000 человек,Продуктовая,Gambling
2005,Kyiv,3600,300,QA Tech Lead,8.0,8.0,,Automation QA,29,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"E-commerce, Fintech"
2006,Kyiv,3600,0,Project manager,6.0,3.0,,,30,female,Высшее,Other вуз,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Telecom
2007,Kyiv,3600,1400,Senior Software Engineer,4.0,3.0,Java,,42,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Automotive
2009,Kyiv,3600,400,Senior Software Engineer,5.0,0.25,Kotlin,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 10 человек,Аутстаффинговая,"Fintech, Gambling, Mobile"
2010,Kyiv,3600,1000,ERP / CRM,10.0,0.5,,,50,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутсорсинговая,ERP
2011,Kharkiv,3600,450,Senior Software Engineer,10.0,0.5,Java,,39,female,Высшее,ХНУРЭ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Medtech
2013,Kyiv,3600,-200,Data Engineer,3.0,1.0,,,30,male,Высшее,Other вуз,False,выше среднего,до 50 человек,Продуктовая,Travel
2014,Kyiv,3600,1600,Software Engineer,4.0,0.5,Python,,24,male,Еще студент,КНУ им. Шевченко,True,средний,до 1000 человек,Продуктовая,"Gambling, High Load Systems, Machine Learning"
2016,Kyiv,3600,-400,Senior Software Engineer,5.0,5.0,Java,,28,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 1000 человек,Продуктовая,Telecom
2017,Kyiv,3600,500,Senior QA engineer,5.0,0.0,,Automation QA,30,male,Незаконченное высшее,,False,выше среднего,до 1000 человек,Продуктовая,Media
2019,Kyiv,3600,-900,Senior Software Engineer,5.0,1.0,JavaScript,,25,male,Высшее,НАУ,False,выше среднего,до 10 человек,Продуктовая,Adtech
2020,Kyiv,3600,-400,Senior QA engineer,5.0,3.0,,Manual QA,29,male,Высшее,КНУ им. Шевченко,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
2022,Kyiv,3600,200,Business analyst,9.0,2.0,,,32,male,Высшее,КНУСА,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Інша
2024,Kyiv,3600,-400,Senior QA engineer,8.0,3.0,,Automation QA,30,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Embedded, Geospatial, Mobile"
2026,Kyiv,3600,1500,DevOps,8.0,0.25,,,29,male,Высшее,НУПТ,False,выше среднего,до 200 человек,Продуктовая,Medtech
2030,Kyiv,3600,-150,Business analyst,6.0,1.0,,,40,male,Высшее,ДонНУ им. Васыля Стуса,False,выше среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
2031,Kyiv,3600,100,Senior Software Engineer,10.0,2.0,PHP,,28,male,Незаконченное высшее,ДонНТУ,False,ниже среднего,до 200 человек,Продуктовая,"E-commerce, ERP"
2033,Kyiv,3600,300,QA Tech Lead,7.0,6.0,,Automation QA,28,male,Высшее,НАУ,False,средний,до 200 человек,Продуктовая,"Automotive, Machine Learning"
2035,Kyiv,3600,600,Senior Software Engineer,4.0,2.0,JavaScript,,33,male,Высшее,Other вуз,False,ниже среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
2036,Kyiv,3600,2000,Data Scientist,2.0,2.0,,,27,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,"Data Science, Fintech"
2038,Kyiv,3600,0,Senior Software Engineer,10.0,0.5,C++,,46,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
2040,Kyiv,3600,0,Team/Technical Lead,10.0,5.0,C#/.NET,,35,male,Высшее,Other вуз,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Media
2041,Kyiv,3600,500,Senior Software Engineer,5.0,0.25,JavaScript,,27,male,Высшее,НТУУ «КПИ»,False,средний,до 1000 человек,Аутсорсинговая,Інша
2043,Kyiv,3600,150,Team/Technical Lead,10.0,5.0,C#/.NET,,35,male,Два высших,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Automotive
2045,Kyiv,3600,600,Senior Project manager / Program Manager,8.0,1.0,,,30,male,Высшее,КНУ им. Шевченко,False,выше среднего,до 1000 человек,Продуктовая,Gambling
2046,Kharkiv,3600,300,Team/Technical Lead,10.0,10.0,PHP,,35,male,Высшее,ХНУРЭ,False,выше среднего,до 200 человек,Аутстаффинговая,E-commerce
2049,Kyiv,3600,50,Senior QA engineer,9.0,9.0,,Automation QA,30,male,Высшее,НАУ,False,продвинутый,до 200 человек,Продуктовая,Automotive
2050,Kyiv,3600,-1350,QA Tech Lead,4.0,2.0,,General QA,27,female,Высшее,Other вуз,False,средний,до 10 человек,Продуктовая,"Big Data, Machine Learning, Інша"
2051,Kyiv,3600,600,Senior Software Engineer,5.0,3.0,Java,,25,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 1000 человек,Аутсорсинговая,Adtech
2052,Kyiv,3600,475,Product Owner,5.0,1.0,,,34,female,Высшее,НаУКМА,False,продвинутый,свыше 1000 человек,Аутстаффинговая,"Big Data, Data Science"
2055,Kyiv,3600,300,Senior Software Engineer,5.0,2.0,Kotlin,,34,male,Два высших,Other вуз,False,средний,до 50 человек,Продуктовая,Fintech
2057,Kyiv,3600,1400,Software Engineer,4.0,0.5,Golang,,31,male,Высшее,НУПТ,False,выше среднего,до 200 человек,Аутсорсинговая,High Load Systems
2059,Kyiv,3600,400,Senior Software Engineer,6.0,1.0,Java,,28,male,Высшее,НАУ,False,средний,свыше 1000 человек,Аутсорсинговая,Fintech
2060,Kyiv,3600,600,HR,6.0,2.0,,,27,female,Два высших,КНЭУ,False,продвинутый,до 200 человек,Продуктовая,Інша
2062,Kyiv,3600,600,Sales manager,7.0,4.0,,,30,male,Высшее,НТУУ «КПИ»,False,продвинутый,свыше 1000 человек,Аутсорсинговая,Telecom
2065,Kharkiv,3600,1800,Business analyst,4.0,0.0,,,36,female,Высшее,Other вуз,False,выше среднего,до 50 человек,Аутсорсинговая,ERP
2069,Kyiv,3600,0,Senior Software Engineer,10.0,7.0,C#/.NET,,38,male,Высшее,ХНЭУ,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Fintech
2070,Kyiv,3600,100,Designer,7.0,3.0,,,31,female,Высшее,Other вуз,False,ниже среднего,свыше 1000 человек,Продуктовая,Fintech
2072,Kyiv,3600,800,Senior Software Engineer,5.0,0.5,JavaScript,,25,male,Высшее,ДонНТУ,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Fintech
2073,Kyiv,3600,600,Software Engineer,7.0,0.5,JavaScript,,29,male,Высшее,НУПТ,False,ниже среднего,до 50 человек,Продуктовая,Gambling
2074,Kyiv,3600,0,Team/Technical Lead,10.0,10.0,Other,,41,male,Высшее,ЗНТУ,False,продвинутый,до 50 человек,Стартап,Інша
2075,Kyiv,3600,800,QA Tech Lead,6.0,0.5,,Manual QA,26,female,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,E-commerce
2076,Kyiv,3600,400,Software Engineer,4.0,0.0,JavaScript,,23,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,E-commerce
2077,Kyiv,3600,1100,Senior Software Engineer,4.0,2.0,Python,,23,male,Высшее,НАУ,False,выше среднего,до 200 человек,Аутстаффинговая,Fintech
2079,Kyiv,3600,0,Team/Technical Lead,10.0,7.0,Other,,32,female,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Продуктовая,Logistics
2081,Kyiv,3600,800,Senior QA engineer,5.0,3.0,,Automation QA,28,male,Высшее,ХНУРЭ,False,выше среднего,до 200 человек,Аутсорсинговая,Інша
2082,Kyiv,3600,400,DevOps,4.0,1.0,,,23,male,Среднее,,False,выше среднего,до 200 человек,Аутсорсинговая,"Cloud Computing, E-commerce, Security"
2083,Kyiv,3600,0,Software Engineer,8.0,4.0,C++,,30,male,Высшее,Other вуз,False,средний,до 200 человек,Продуктовая,GameDev
2086,Kyiv,3600,0,Senior Software Engineer,7.0,3.0,Java,,29,male,Высшее,НУПТ,False,продвинутый,свыше 1000 человек,Аутсорсинговая,E-commerce
2087,Kyiv,3600,-2300,System Architect,10.0,6.0,C#/.NET,,31,male,Высшее,ДонНУ им. Васыля Стуса,False,выше среднего,до 1000 человек,Аутсорсинговая,Mobile
2090,Kyiv,3570,1000,Senior Software Engineer,4.0,0.25,JavaScript,,32,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Аутсорсинговая,Travel
2091,Lviv,3570,250,Software Engineer,5.0,2.0,C#/.NET,,36,female,Кандидат,ЛНУ им. Франко,False,средний,до 50 человек,Продуктовая,Fintech
2097,Kyiv,3550,1000,Senior Software Engineer,3.0,0.25,Java,,23,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутсорсинговая,Telecom
2099,Kyiv,3515,665,Software Engineer,4.0,0.0,C#/.NET,,25,male,Высшее,НТУУ «КПИ»,False,средний,свыше 1000 человек,Аутсорсинговая,"E-commerce, Medtech"
2101,Kyiv,3515,815,Senior Software Engineer,8.0,0.0,Java,,29,male,Высшее,НТУУ «КПИ»,False,продвинутый,до 200 человек,Аутсорсинговая,Adtech
2102,Kyiv,3515,-475,Senior Software Engineer,8.0,0.5,Python,,30,male,Высшее,ХНУРЭ,False,продвинутый,до 50 человек,Продуктовая,Travel
2104,Kyiv,3500,300,Senior Software Engineer,7.0,3.0,C++,,27,male,Высшее,НТУ «ХПИ»,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Automotive
2105,Kyiv,3500,700,Software Engineer,4.0,1.0,Java,,27,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 50 человек,Продуктовая,"Blockchain, Fintech"
2106,Kyiv,3500,1000,Team/Technical Lead,7.0,0.5,Python,,28,male,Высшее,НаУКМА,False,продвинутый,до 1000 человек,Продуктовая,Machine Learning
2107,Kyiv,3500,500,Team/Technical Lead,4.0,1.0,Scala,,23,male,Высшее,НТУУ «КПИ»,False,выше среднего,свыше 1000 человек,Аутстаффинговая,Automotive
2109,Запорожье,3500,0,Senior Software Engineer,10.0,10.0,JavaScript,,32,male,Высшее,ЗНТУ,False,продвинутый,свыше 1000 человек,Продуктовая,Machine Learning
2110,Kyiv,3500,0,Senior Project manager / Program Manager,8.0,6.0,,,35,male,Два высших,,False,средний,до 200 человек,Продуктовая,"E-commerce, Fintech, Mobile"
2111,Kyiv,3500,1300,Business analyst,5.0,1.0,,,26,female,Высшее,КНУ им. Шевченко,False,выше среднего,до 200 человек,Продуктовая,Fintech
2113,Kyiv,3500,500,Product Manager,4.0,1.0,,,30,male,Высшее,Other вуз,False,выше среднего,до 1000 человек,Продуктовая,Gambling
2115,Kyiv,3500,500,Product Owner,7.0,5.0,,,37,female,Два высших,Other вуз,False,продвинутый,до 50 человек,Продуктовая,"Adtech, Medtech, Mobile"
2117,Kyiv,3500,800,Senior Software Engineer,8.0,3.0,TypeScript,,29,male,Высшее,НТУУ «КПИ»,False,выше среднего,до 200 человек,Продуктовая,Edtech
